INFO 2024-10-22 12:56:39,261 autoreload Watching for file changes with StatReloader
DEBUG 2024-10-22 12:56:39,261 autoreload Waiting for apps ready_event.
DEBUG 2024-10-22 12:56:39,302 autoreload Apps ready_event triggered. Sending autoreload_started signal.
DEBUG 2024-10-22 12:56:39,360 autoreload Watching dir /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/templates with glob **/*.
DEBUG 2024-10-22 12:56:39,363 autoreload Watching dir /home/aarenas-/Desktop/globant_piscine/pokeapi/pokeapi/templates with glob **/*.
DEBUG 2024-10-22 12:56:39,363 autoreload Watching dir /home/aarenas-/.local/lib/python3.10/site-packages/oauth2_provider/templates with glob **/*.
DEBUG 2024-10-22 12:56:39,363 autoreload Watching dir /home/aarenas-/Desktop/globant_piscine/pokeapi/pokeapi/locale with glob **/*.mo.
DEBUG 2024-10-22 12:56:39,363 autoreload Watching dir /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/locale with glob **/*.mo.
DEBUG 2024-10-22 12:56:39,363 autoreload Watching dir /home/aarenas-/Desktop/globant_piscine/pokeapi/pokeapi/api/locale with glob **/*.mo.
DEBUG 2024-10-22 12:56:39,363 autoreload Watching dir /home/aarenas-/.local/lib/python3.10/site-packages/oauth2_provider/locale with glob **/*.mo.
DEBUG 2024-10-22 12:56:39,388 utils (0.000) 
            SELECT name, type FROM sqlite_master
            WHERE type in ('table', 'view') AND NOT name='sqlite_sequence'
            ORDER BY name; args=None; alias=default
DEBUG 2024-10-22 12:56:39,391 utils (0.000) SELECT "django_migrations"."id", "django_migrations"."app", "django_migrations"."name", "django_migrations"."applied" FROM "django_migrations"; args=(); alias=default
DEBUG 2024-10-22 12:56:39,424 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/management/commands/__init__.py first seen with mtime 1729519783.3123636
DEBUG 2024-10-22 12:56:39,424 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/templatetags/i18n.py first seen with mtime 1729519783.3523648
DEBUG 2024-10-22 12:56:39,424 autoreload File /usr/lib/python3/dist-packages/chardet/escsm.py first seen with mtime 1605650645.0
DEBUG 2024-10-22 12:56:39,424 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/utils/breadcrumbs.py first seen with mtime 1729505593.9859967
DEBUG 2024-10-22 12:56:39,424 autoreload File /usr/lib/python3/dist-packages/yaml/serializer.py first seen with mtime 1611178924.0
DEBUG 2024-10-22 12:56:39,424 autoreload File /usr/lib/python3.10/linecache.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,424 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/utils/encoders.py first seen with mtime 1729505593.9859967
DEBUG 2024-10-22 12:56:39,424 autoreload File /usr/lib/python3/dist-packages/urllib3/util/request.py first seen with mtime 1698160849.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/primitives/serialization/ssh.py first seen with mtime 1629825437.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3/dist-packages/urllib3/poolmanager.py first seen with mtime 1698160849.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/oauth2_provider/checks.py first seen with mtime 1729519784.116389
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/files/uploadedfile.py first seen with mtime 1729519783.3083634
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/models/fields/mixins.py first seen with mtime 1729519783.3313642
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3.10/subprocess.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3.10/asyncio/tasks.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/primitives/ciphers/algorithms.py first seen with mtime 1629825437.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/templatetags/static.py first seen with mtime 1729519783.3523648
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3/dist-packages/requests/api.py first seen with mtime 1608147266.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/utils/dates.py first seen with mtime 1729519783.356365
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/dispatch/dispatcher.py first seen with mtime 1729519783.3353643
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/checks/messages.py first seen with mtime 1729519783.3053634
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3.10/opcode.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3.10/lib-dynload/_json.cpython-310-x86_64-linux-gnu.so first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/pygments/formatters/_mapping.py first seen with mtime 1716371656.3539577
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3/dist-packages/urllib3/util/wait.py first seen with mtime 1622048489.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/rest_framework/fields.py first seen with mtime 1729505593.9449956
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/staticfiles/apps.py first seen with mtime 1729519783.2983632
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3.10/hmac.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/auth/apps.py first seen with mtime 1729519782.980353
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/sessions/models.py first seen with mtime 1729519783.2493615
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/staticfiles/views.py first seen with mtime 1729519783.2993631
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/auth/views.py first seen with mtime 1729519782.9833531
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/core/wsgi.py first seen with mtime 1729519783.3023632
DEBUG 2024-10-22 12:56:39,425 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/conf/global_settings.py first seen with mtime 1729519782.7603462
DEBUG 2024-10-22 12:56:39,425 autoreload File /usr/lib/python3/dist-packages/chardet/langthaimodel.py first seen with mtime 1607626374.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3/dist-packages/yaml/__init__.py first seen with mtime 1611178924.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3/dist-packages/yaml/tokens.py first seen with mtime 1611178924.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/__init__.py first seen with mtime 1629824557.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/models/fields/files.py first seen with mtime 1729519783.3313642
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/oauthlib/oauth2/rfc6749/endpoints/introspect.py first seen with mtime 1729519781.992322
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/utils/datastructures.py first seen with mtime 1729519783.356365
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3/dist-packages/yaml/dumper.py first seen with mtime 1611178924.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/oauthlib/oauth2/rfc6749/clients/service_application.py first seen with mtime 1729519781.9913218
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/backends/base/base.py first seen with mtime 1729519783.3183637
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1729519783.0163543
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3.10/lib-dynload/_contextvars.cpython-310-x86_64-linux-gnu.so first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3.10/locale.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/oauth2_provider/apps.py first seen with mtime 1729519784.116389
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/models/sql/constants.py first seen with mtime 1729519783.3343642
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/postgres/forms/array.py first seen with mtime 1729519783.20036
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3.10/importlib/abc.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3.10/wsgiref/util.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/http/cookie.py first seen with mtime 1729519783.3463647
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3.10/re.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/admin/decorators.py first seen with mtime 1729519782.847349
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/oauthlib/signals.py first seen with mtime 1729519781.9863217
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3.10/difflib.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/http/response.py first seen with mtime 1729519783.3473647
DEBUG 2024-10-22 12:56:39,426 autoreload File /usr/lib/python3/dist-packages/requests/__init__.py first seen with mtime 1608147266.0
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/asgiref/sync.py first seen with mtime 1729503325.2968206
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/template/loaders/__init__.py first seen with mtime 1729519783.3513649
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/sqlparse/__init__.py first seen with mtime 1729503325.2688198
DEBUG 2024-10-22 12:56:39,426 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/backends/base/client.py first seen with mtime 1729519783.3183637
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/sqlparse/tokens.py first seen with mtime 1729503325.2698197
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/utils/duration.py first seen with mtime 1729519783.356365
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3.10/sre_compile.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/certifi/core.py first seen with mtime 1599546524.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3.10/importlib/metadata/_meta.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/migrations/operations/special.py first seen with mtime 1729519783.3283641
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/cryptography/hazmat/primitives/kdf/__init__.py first seen with mtime 1629824557.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/db/models/functions/comparison.py first seen with mtime 1729519783.3333642
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/oauthlib/oauth2/rfc6749/endpoints/authorization.py first seen with mtime 1729519781.9913218
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/requests/sessions.py first seen with mtime 1685985153.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3.10/email/headerregistry.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3.10/ctypes/__init__.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3.10/_compression.py first seen with mtime 1726069656.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/pytz/lazy.py first seen with mtime 1648114908.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/pygments/regexopt.py first seen with mtime 1716371656.3499575
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/contrib/admin/views/autocomplete.py first seen with mtime 1729519782.941352
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/pygments/lexer.py first seen with mtime 1716371656.3499575
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/chardet/chardistribution.py first seen with mtime 1605650645.0
DEBUG 2024-10-22 12:56:39,427 autoreload File /home/aarenas-/.local/lib/python3.10/site-packages/django/urls/conf.py first seen with mtime 1729519783.3543649
DEBUG 2024-10-22 12:56:39,427 autoreload File /usr/lib/python3/dist-packages/apport_python_hook.py first seen with mtime 1681427306.0
